capability_id,category,current_status,what_is_it_ru,why_needed_ru,agent_usage_ru,plus_ru,minus_risk_ru,install_needed,platform_profile_pc_windows,platform_profile_ubuntu_vm3,platform_profile_cross_platform,platform_profile_unknown_notes,install_command_candidate,detect_command,validation_command,stress_test_candidate,receipt_required,recommendation,owner_decision,approved_for_install_wave_001,notes_for_owner_ru
CLOUD_LLM_ADAPTERS_COST_POLICY_GATE,CLOUD_LLM_ADAPTERS,CANDIDATE,cost policy gate: Mass intake candidate for cost policy gate in CLOUD_LLM_ADAPTERS.,Mass intake seed for CLOUD_LLM_ADAPTERS.,Исполнение запрещено до решения Owner и отдельного policy/gatepack. Только описание/планирование; execution запрещен.,Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,RESERVED/CANDIDATE_ONLY in this task; no deep integration permitted. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,DEFERRED_POLICY_LANE; no activation in this task.,FORBIDDEN_IN_THIS_TASK; VM3/Ubuntu untouched by contract.,NOT_EVALUATED_FOR_THIS_TASK,Reserved lane requires separate Owner gate before any runtime action.,,TO_DEFINE_DETECT_COMMAND,validate:cloud-llm-adapters-cost-policy-gate,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cloud-llm-adapters-cost-policy-gate_validation_receipt.json,defer,pending,False,source_type=adapter; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=true.
CLOUD_LLM_ADAPTERS_OPENAI_COMPATIBLE_API_ADAPTER_RESERVED,CLOUD_LLM_ADAPTERS,CANDIDATE,OpenAI-compatible API adapter reserved: Mass intake candidate for OpenAI-compatible API adapter reserved in CLOUD_LLM_ADAPTERS.,Mass intake seed for CLOUD_LLM_ADAPTERS.,Исполнение запрещено до решения Owner и отдельного policy/gatepack. Только описание/планирование; execution запрещен.,Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,RESERVED/CANDIDATE_ONLY in this task; no deep integration permitted. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DEFERRED_POLICY_LANE; no activation in this task.,FORBIDDEN_IN_THIS_TASK; VM3/Ubuntu untouched by contract.,NOT_EVALUATED_FOR_THIS_TASK,Reserved lane requires separate Owner gate before any runtime action.,TO_DEFINE_BY_OWNER_INSTALL_GATE,TO_DEFINE_DETECT_COMMAND,validate:cloud-llm-adapters-openai-compatible-api-adapter-reserved,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cloud-llm-adapters-openai-compatible-api-adapter-reserved_validation_receipt.json,defer,pending,False,source_type=adapter; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=true.
CLOUD_LLM_ADAPTERS_PRIVACY_POLICY_GATE,CLOUD_LLM_ADAPTERS,CANDIDATE,privacy policy gate: Mass intake candidate for privacy policy gate in CLOUD_LLM_ADAPTERS.,Mass intake seed for CLOUD_LLM_ADAPTERS.,Исполнение запрещено до решения Owner и отдельного policy/gatepack. Только описание/планирование; execution запрещен.,Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,RESERVED/CANDIDATE_ONLY in this task; no deep integration permitted. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,DEFERRED_POLICY_LANE; no activation in this task.,FORBIDDEN_IN_THIS_TASK; VM3/Ubuntu untouched by contract.,NOT_EVALUATED_FOR_THIS_TASK,Reserved lane requires separate Owner gate before any runtime action.,,TO_DEFINE_DETECT_COMMAND,validate:cloud-llm-adapters-privacy-policy-gate,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cloud-llm-adapters-privacy-policy-gate_validation_receipt.json,defer,pending,False,source_type=adapter; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=true.
CLOUD_LLM_ADAPTERS_SECRET_POLICY_GATE,CLOUD_LLM_ADAPTERS,CANDIDATE,secret policy gate: Mass intake candidate for secret policy gate in CLOUD_LLM_ADAPTERS.,Mass intake seed for CLOUD_LLM_ADAPTERS.,Исполнение запрещено до решения Owner и отдельного policy/gatepack. Только описание/планирование; execution запрещен.,Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,RESERVED/CANDIDATE_ONLY in this task; no deep integration permitted. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,DEFERRED_POLICY_LANE; no activation in this task.,FORBIDDEN_IN_THIS_TASK; VM3/Ubuntu untouched by contract.,NOT_EVALUATED_FOR_THIS_TASK,Reserved lane requires separate Owner gate before any runtime action.,,TO_DEFINE_DETECT_COMMAND,validate:cloud-llm-adapters-secret-policy-gate,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cloud-llm-adapters-secret-policy-gate_validation_receipt.json,defer,pending,False,source_type=adapter; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=true.
CAP-CQ-PRECOMMIT,CODE_QUALITY,SANDBOX,pre-commit candidate: Candidate commit-time hook enforcement.,Could prevent avoidable hygiene regressions.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Bounded task execution under Mechanicus policy; Evidence-backed validation and report generation. Статус сейчас: SANDBOX.,No mandatory hook policy admitted. Forbidden: Production-ready claim without receipts; Out-of-scope or unbounded execution Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user pre-commit,pre-commit --version,validate:cap-cq-precommit,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cap-cq-precommit_receipt.json; cap-cq-precommit_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
CAP-CQ-PYRIGHT-MYPY,CODE_QUALITY,SANDBOX,pyright or mypy type safety candidate: Candidate static type-check lane.,Could detect interface/type drift earlier.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Bounded task execution under Mechanicus policy; Evidence-backed validation and report generation. Статус сейчас: SANDBOX.,No validated type profile in this task. Forbidden: Production-ready claim without receipts; Out-of-scope or unbounded execution Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user mypy,mypy --version,validate:cap-cq-pyright-mypy,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cap-cq-pyright-mypy_receipt.json; cap-cq-pyright-mypy_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-U13-PYTHON-TYPE-SAFETY; reserved=false.
CAP-CQ-RUFF,CODE_QUALITY,SANDBOX,Ruff candidate: Candidate Python lint/format accelerator.,Could speed quality checks in bounded pipelines.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Bounded task execution under Mechanicus policy; Evidence-backed validation and report generation. Статус сейчас: SANDBOX.,No canonical lint baseline approved yet. Forbidden: Production-ready claim without receipts; Out-of-scope or unbounded execution Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user ruff,ruff --version,validate:cap-cq-ruff,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cap-cq-ruff_receipt.json; cap-cq-ruff_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
CODE_QUALITY_JSONSCHEMA,CODE_QUALITY,SANDBOX,jsonschema: Mass intake candidate for jsonschema in CODE_QUALITY.,Mass intake seed for CODE_QUALITY.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: SANDBOX.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user jsonschema,python -m jsonschema --version,validate:code-quality-jsonschema,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",code-quality-jsonschema_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
CODE_QUALITY_MYPY,CODE_QUALITY,SANDBOX,mypy: Mass intake candidate for mypy in CODE_QUALITY.,Mass intake seed for CODE_QUALITY.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: SANDBOX.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user mypy,python -m mypy --version,validate:code-quality-mypy,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",code-quality-mypy_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
CODE_QUALITY_PRE_COMMIT,CODE_QUALITY,SANDBOX,pre-commit: Mass intake candidate for pre-commit in CODE_QUALITY.,Mass intake seed for CODE_QUALITY.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: SANDBOX.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user pre-commit,pre-commit --version,validate:code-quality-pre-commit,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",code-quality-pre-commit_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
CODE_QUALITY_PYRIGHT,CODE_QUALITY,CANDIDATE,pyright: Mass intake candidate for pyright in CODE_QUALITY.,Mass intake seed for CODE_QUALITY.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,npm install -g pyright,pyright --version,validate:code-quality-pyright,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",code-quality-pyright_validation_receipt.json,keep_candidate,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
CODE_QUALITY_PYTEST,CODE_QUALITY,SANDBOX,pytest: Mass intake candidate for pytest in CODE_QUALITY.,Mass intake seed for CODE_QUALITY.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: SANDBOX.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DETECT_ONLY_NOW; install only after Owner approval wave.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,TO_VERIFY_PER_PLATFORM_PROFILE,No installs executed. Detection and planning only.,python -m pip install --user pytest,pytest --version,validate:code-quality-pytest,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",code-quality-pytest_validation_receipt.json,sandbox,pending,False,source_type=external_tool; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=false.
